,index,Unnamed: 0,relatie_code,storing_idnummer,storing_melddatum,storing_medium,storing_materiaal,storing_type,storing_type_hulpstuk,storing_aanlegjaar,storing_wanddikte,storing_diameter,storing_bomen,storing_relining,storing_relining_jaar,storing_kathodische_bescherming,storing_pmax,storing_pdifference,storing_lengte_scheur,storing_grond_dekking,storing_verkeersdrempels,storing_drempelafstand,storing_verschijningsvorm,storing_bescherminginwendig,storing_soortoorzaak,storing_oorzaak1spontanestoring,storing_oorzaak2spontanestoring,storing_oorzaakinternebedrijfsvoering,storing_storendobject,Unnamed: 29,age_at_failure,construction_year_vs_graph_year
0,0,418,C,-,2010-03-05 00:00:00,-,MAT_GG,TYP_LMOF,-,1975-01-01,9,80.0,BOM_ONB,-,-1,BU_GG_BIT,-1,-1,-,-,-,-,-,BI_GG_GEEN,ORZ_SPONTAAN,,,,BUIS,,35.17316906228611,44.99931553730322
1,1,978,B,-,2010-06-03 00:00:00,-,MAT_ST,-,-,1954-01-01,,80.0,BOM_ONB,-,-1,-,-1,-1,-,-,-,-,BUIS_AND,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,-,,56.41889117043121,65.99863107460644
2,2,359,A,-,2010-02-24 00:00:00,-,MAT_PVC,-,-,1990-01-01,4.7,160.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,BUIS_SCHERF,-,ORZ_SPONTAAN,,,,BUIS,,20.147843942505133,29.998631074606433
4,4,444,A,-,2010-03-10 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1960-01-01,,50.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHUIF,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,50.18754277891855,60.0
7,7,2441,B,-,2010-11-19 00:00:00,-,MAT_AC,-,-,1963-01-01,,160.0,BOM_NEE,-,-1,BU_AC_ONB,-1,-1,-,-,-,-,BUIS_AND,-,ORZ_SPONTAAN,,,,BUIS,,47.88227241615332,56.99931553730322
8,8,672,B,-,2010-04-16 00:00:00,-,MAT_AC,-,-,1969-01-01,,50.0,BOM_JA,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,41.28678986995209,50.997946611909654
9,9,2385,B,-,2010-11-15 00:00:00,-,MAT_AC,-,-,1955-01-01,12,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,,,,BUIS,,55.87132101300479,64.99931553730322
10,10,1518,B,-,2010-07-19 00:00:00,-,MAT_AC,-,-,1968-01-01,,100.0,BOM_JA,-,-1,BU_AC_TEBIT,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,42.54620123203286,52.0
11,11,2183,A,-,2010-10-15 00:00:00,-,MAT_AC,-,-,1990-01-01,15,100.0,BOM_JA,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_LENGTES,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,20.78576317590691,29.998631074606433
12,12,2464,A,-,2010-11-22 00:00:00,-,MAT_AC,-,-,1982-01-01,15,150.0,BOM_NEE,-,-1,BU_AC_TEBIT,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,28.889801505817932,37.998631074606436
13,13,2150,B,-,2010-10-13 00:00:00,-,MAT_AC,-,-,1964-01-01,,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_SCHERF,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,46.78165639972622,56.0
14,14,2493,B,-,2010-11-25 00:00:00,-,MAT_ST,-,-,1967-01-01,,100.0,BOM_JA,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,43.898699520876114,52.99931553730322
15,15,690,A,-,2010-04-20 00:00:00,-,MAT_PVC,TYP_TRV_STEEK,-,1977-01-01,,110.0,BOM_JA,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,VERB,,33.29774127310061,42.997946611909654
16,16,1183,B,-,2010-06-26 00:00:00,-,MAT_AC,-,-,1959-01-01,,100.0,BOM_NEE,-,-1,BU_AC_GEEN,-1,-1,-,-,-,-,BUIS_LENGTES,-,ORZ_SPONTAAN,,,,BUIS,,51.48254620123203,60.99931553730322
18,18,1607,B,-,2010-07-30 00:00:00,-,MAT_AC,-,-,1962-01-01,,100.0,BOM_NEE,-,-1,BU_AC_ONB,-1,-1,-,-,-,-,BUIS_RONDBR,-,ORZ_SPONTAAN,,,,BUIS,,48.57494866529774,57.998631074606436
19,19,974,A,-,2010-06-03 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1959-01-01,,150.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_SCHEUR,-,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,VERB,,51.419575633128,60.99931553730322
20,20,2266,B,-,2010-10-27 00:00:00,-,MAT_ST,-,-,1950-01-01,3,80.0,BOM_NEE,-,-1,BU_ST_BIT,-1,-1,-,-,-,-,BUIS_PUNTLEK,BI_ST_ONB,ORZ_SPONTAAN,ORZ_SPON1_AANT,,,BUIS,,60.818617385352496,69.99863107460644
21,21,1594,A,-,2010-07-28 00:00:00,-,MAT_AC,TYP_NTRV_STEEK,-,1965-01-01,,150.0,BOM_NEE,-,-1,-,-1,-1,-,-,-,-,VERB_AFD,-,ORZ_SPONTAAN,,,,VERB,,45.568788501026695,54.997946611909654
23,23,1504,B,-,2010-07-18 00:00:00,-,MAT_AC,-,-,1983-01-01,,100.0,BOM_JA,-,-1,BU_AC_ONB,-1,-1,-,-,-,-,BUIS_AND,-,ORZ_SPONTAAN,ORZ_SPON1_UITWBEL,,,BUIS,,27.54277891854894,36.99931553730322
