,storing_materiaal,storing_diameter,storing_melddatum,storing_aanlegjaar,age_at_failure,Diameter_group,Construction_year_group,Group_id,Group_failurerate,Diameter_group_failurerate,Pipe_failurerate
4,MAT_AC,50.0,2010-03-10 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
7,MAT_AC,160.0,2010-11-19 00:00:00,1963-01-01,47.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.006193241903316784
8,MAT_AC,50.0,2010-04-16 00:00:00,1969-01-01,41.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005402615277361449
9,MAT_AC,100.0,2010-11-15 00:00:00,1955-01-01,55.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007247410737923896
10,MAT_AC,100.0,2010-07-19 00:00:00,1968-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
11,MAT_AC,100.0,2010-10-15 00:00:00,1990-01-01,20.0,0 - 160,1990 - 2000,16019902000,0.010718391292134262,0.019447347390450617,0.0026354220865177805
12,MAT_AC,150.0,2010-11-22 00:00:00,1982-01-01,28.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0036895909211248925
13,MAT_AC,100.0,2010-10-13 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
16,MAT_AC,100.0,2010-06-26 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
18,MAT_AC,100.0,2010-07-30 00:00:00,1962-01-01,48.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006325013007642673
19,MAT_AC,150.0,2010-06-03 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
21,MAT_AC,150.0,2010-07-28 00:00:00,1965-01-01,45.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005929699694665005
23,MAT_AC,100.0,2010-07-18 00:00:00,1983-01-01,27.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0035578198167990033
26,MAT_AC,100.0,2010-07-10 00:00:00,1947-01-01,63.0,0 - 160,1940 - 1950,16019401950,0.03147109930130199,0.019447347390450617,0.008301579572531009
29,MAT_AC,200.0,2010-12-10 00:00:00,1968-01-01,42.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.0055343863816873385
30,MAT_AC,50.0,2010-05-12 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
33,MAT_AC,125.0,2010-09-21 00:00:00,1957-01-01,53.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006983868529272118
35,MAT_AC,200.0,2010-04-13 00:00:00,1949-01-01,61.0,160 - 300,1940 - 1950,16030019401950,0.005388586756656437,0.004668884141399624,0.00803803736387923
36,MAT_AC,150.0,2010-11-20 00:00:00,1961-01-01,49.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006456784111968562
38,MAT_AC,100.0,2010-07-10 00:00:00,1962-01-01,48.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006325013007642673
41,MAT_AC,150.0,2010-01-22 00:00:00,1982-01-01,28.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0036895909211248925
43,MAT_AC,100.0,2010-07-09 00:00:00,1947-01-01,63.0,0 - 160,1940 - 1950,16019401950,0.03147109930130199,0.019447347390450617,0.008301579572531009
47,MAT_AC,100.0,2010-07-15 00:00:00,1969-01-01,41.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005402615277361449
48,MAT_AC,100.0,2010-07-16 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
49,MAT_AC,100.0,2010-06-25 00:00:00,1958-01-01,52.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006852097424946229
51,MAT_AC,200.0,2010-10-14 00:00:00,1989-01-01,21.0,160 - 300,1980 - 1990,16030019801990,0.003549969875818495,0.004668884141399624,0.0027671931908436692
57,MAT_AC,100.0,2010-01-11 00:00:00,1973-01-01,37.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004875530860057893
58,MAT_AC,200.0,2010-12-29 00:00:00,1979-01-01,31.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.00408490423410256
59,MAT_AC,50.0,2010-07-09 00:00:00,1961-01-01,49.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006456784111968562
70,MAT_AC,160.0,2010-01-12 00:00:00,1972-01-01,38.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.0050073019643837825
78,MAT_AC,300.0,2010-11-16 00:00:00,1963-01-01,47.0,300 - 1000,1960 - 1970,300100019601970,0.0034630756924591264,0.0014915573037056083,0.006193241903316784
79,MAT_AC,100.0,2010-03-18 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
83,MAT_AC,100.0,2010-07-16 00:00:00,1957-01-01,53.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006983868529272118
84,MAT_AC,300.0,2010-11-29 00:00:00,1977-01-01,33.0,300 - 1000,1970 - 1980,300100019701980,0.00031314119919218766,0.0014915573037056083,0.004348446442754337
86,MAT_AC,150.0,2010-12-08 00:00:00,1955-01-01,55.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007247410737923896
88,MAT_AC,200.0,2010-08-10 00:00:00,1979-01-01,31.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.00408490423410256
89,MAT_AC,100.0,2010-03-02 00:00:00,1950-01-01,60.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007906266259553341
90,MAT_AC,125.0,2010-06-19 00:00:00,1968-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
91,MAT_AC,50.0,2010-11-20 00:00:00,1955-01-01,55.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007247410737923896
92,MAT_AC,200.0,2010-07-13 00:00:00,1961-01-01,49.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.006456784111968562
93,MAT_AC,100.0,2010-10-14 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
101,MAT_AC,125.0,2010-06-17 00:00:00,1968-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
109,MAT_AC,150.0,2010-06-08 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
120,MAT_AC,100.0,2010-12-16 00:00:00,1943-01-01,67.0,0 - 160,1940 - 1950,16019401950,0.03147109930130199,0.019447347390450617,0.008828663989834564
122,MAT_AC,50.0,2010-08-25 00:00:00,1936-01-01,74.0,0 - 160,1930 - 1940,16019301940,0.0120901165446888,0.019447347390450617,0.009751061720115787
123,MAT_AC,150.0,2010-04-28 00:00:00,1968-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
124,MAT_AC,150.0,2010-07-02 00:00:00,1935-01-01,75.0,0 - 160,1930 - 1940,16019301940,0.0120901165446888,0.019447347390450617,0.009882832824441676
126,MAT_AC,100.0,2010-01-15 00:00:00,1967-01-01,43.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005666157486013228
127,MAT_AC,100.0,2010-01-14 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
135,MAT_AC,100.0,2010-07-16 00:00:00,1952-01-01,58.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0076427240509015625
139,MAT_AC,100.0,2010-09-22 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
141,MAT_AC,100.0,2010-10-12 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
143,MAT_AC,300.0,2010-11-07 00:00:00,1965-01-01,45.0,300 - 1000,1960 - 1970,300100019601970,0.0034630756924591264,0.0014915573037056083,0.005929699694665005
144,MAT_AC,150.0,2010-01-13 00:00:00,1981-01-01,29.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0038213620254507813
145,MAT_AC,150.0,2010-03-22 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
147,MAT_AC,100.0,2010-06-22 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
150,MAT_AC,100.0,2010-08-25 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
153,MAT_AC,100.0,2010-02-07 00:00:00,1951-01-01,59.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007774495155227452
155,MAT_AC,50.0,2010-08-20 00:00:00,1961-01-01,49.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006456784111968562
160,MAT_AC,100.0,2010-06-26 00:00:00,1982-01-01,28.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0036895909211248925
161,MAT_AC,100.0,2010-07-03 00:00:00,1966-01-01,44.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005797928590339117
162,MAT_AC,100.0,2010-11-19 00:00:00,1979-01-01,31.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.00408490423410256
165,MAT_AC,50.0,2010-04-12 00:00:00,1961-01-01,49.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006456784111968562
167,MAT_AC,150.0,2010-10-17 00:00:00,1962-01-01,48.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006325013007642673
170,MAT_AC,100.0,2010-09-02 00:00:00,1935-01-01,75.0,0 - 160,1930 - 1940,16019301940,0.0120901165446888,0.019447347390450617,0.009882832824441676
174,MAT_AC,100.0,2010-09-08 00:00:00,1982-01-01,28.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0036895909211248925
177,MAT_AC,150.0,2010-08-09 00:00:00,1969-01-01,41.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005402615277361449
178,MAT_AC,100.0,2010-02-16 00:00:00,1969-01-01,41.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005402615277361449
185,MAT_AC,250.0,2010-05-27 00:00:00,1988-01-01,22.0,160 - 300,1980 - 1990,16030019801990,0.003549969875818495,0.004668884141399624,0.0028989642951695585
188,MAT_AC,150.0,2010-04-14 00:00:00,1948-01-01,62.0,0 - 160,1940 - 1950,16019401950,0.03147109930130199,0.019447347390450617,0.00816980846820512
189,MAT_AC,250.0,2010-11-18 00:00:00,1988-01-01,22.0,160 - 300,1980 - 1990,16030019801990,0.003549969875818495,0.004668884141399624,0.0028989642951695585
191,MAT_AC,100.0,2010-11-02 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
193,MAT_AC,200.0,2010-06-11 00:00:00,1979-01-01,31.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.00408490423410256
194,MAT_AC,100.0,2010-08-12 00:00:00,1973-01-01,37.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004875530860057893
195,MAT_AC,250.0,2010-08-09 00:00:00,1965-01-01,45.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.005929699694665005
197,MAT_AC,100.0,2010-07-17 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
200,MAT_AC,100.0,2010-01-19 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
201,MAT_AC,200.0,2010-12-12 00:00:00,1978-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
208,MAT_AC,100.0,2010-02-15 00:00:00,1967-01-01,43.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005666157486013228
209,MAT_AC,100.0,2010-06-23 00:00:00,1980-01-01,30.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0039531331297766705
210,MAT_AC,100.0,2010-09-04 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
211,MAT_AC,100.0,2010-02-19 00:00:00,1972-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
212,MAT_AC,100.0,2010-09-03 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
219,MAT_AC,150.0,2010-05-13 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
220,MAT_AC,100.0,2010-04-09 00:00:00,1971-01-01,39.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005139073068709672
221,MAT_AC,100.0,2010-05-10 00:00:00,1988-01-01,22.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0028989642951695585
224,MAT_AC,100.0,2010-07-19 00:00:00,1969-01-01,41.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005402615277361449
226,MAT_AC,100.0,2010-02-08 00:00:00,1967-01-01,43.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005666157486013228
227,MAT_AC,100.0,2010-02-15 00:00:00,1985-01-01,25.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0032942776081472253
231,MAT_AC,100.0,2010-12-16 00:00:00,1958-01-01,52.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006852097424946229
233,MAT_AC,125.0,2010-09-19 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
235,MAT_AC,100.0,2010-07-15 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
238,MAT_AC,100.0,2010-01-27 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
243,MAT_AC,125.0,2010-01-18 00:00:00,1977-01-01,33.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004348446442754337
244,MAT_AC,200.0,2010-03-04 00:00:00,1967-01-01,43.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.005666157486013228
245,MAT_AC,100.0,2010-03-31 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
248,MAT_AC,125.0,2010-06-17 00:00:00,1968-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
253,MAT_AC,150.0,2010-03-19 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
254,MAT_AC,150.0,2010-03-04 00:00:00,1957-01-01,53.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006983868529272118
258,MAT_AC,150.0,2010-07-19 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
260,MAT_AC,100.0,2010-08-24 00:00:00,1977-01-01,33.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004348446442754337
262,MAT_AC,100.0,2010-08-18 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
263,MAT_AC,100.0,2010-08-01 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
265,MAT_AC,100.0,2010-12-04 00:00:00,1985-01-01,25.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0032942776081472253
266,MAT_AC,100.0,2010-01-16 00:00:00,1979-01-01,31.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.00408490423410256
273,MAT_AC,150.0,2010-04-28 00:00:00,1988-01-01,22.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0028989642951695585
279,MAT_AC,100.0,2010-07-01 00:00:00,1972-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
281,MAT_AC,200.0,2010-11-12 00:00:00,1955-01-01,55.0,160 - 300,1950 - 1960,16030019501960,0.007169865387818386,0.004668884141399624,0.007247410737923896
282,MAT_AC,100.0,2010-07-10 00:00:00,1961-01-01,49.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006456784111968562
284,MAT_AC,300.0,2010-08-25 00:00:00,1962-01-01,48.0,300 - 1000,1960 - 1970,300100019601970,0.0034630756924591264,0.0014915573037056083,0.006325013007642673
286,MAT_AC,100.0,2010-06-22 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
289,MAT_AC,100.0,2010-06-10 00:00:00,1972-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
290,MAT_AC,100.0,2010-05-21 00:00:00,1963-01-01,47.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006193241903316784
