,Aanlegjaar,Lengte,Diameter,Materiaalcode,Diameter_group,Construction_year_group,Group_id
2166783,1974,368.595185400738,200,MAT_AC,160 - 300,1970 - 1980,16030019701980
2110184,1990,0.500099989978093,150,MAT_AC,0 - 160,1990 - 2000,16019902000
2144900,1989,35.8327983588672,200,MAT_AC,160 - 300,1980 - 1990,16030019801990
2104664,1979,15.2488196853957,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2182521,1973,280.11853041517,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2238469,1982,42.2499522201348,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2246972,1957,18.8576840027536,100,MAT_AC,0 - 160,1950 - 1960,16019501960
2110578,1991,53.8371746873157,150,MAT_AC,0 - 160,1990 - 2000,16019902000
2186920,1981,21.5028505055694,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2226357,1978,1.00252531135405,150,MAT_AC,0 - 160,1970 - 1980,16019701980
2029500,1981,43.1,125,MAT_AC,0 - 160,1980 - 1990,16019801990
2286996,1971,102.100537432389,250,MAT_AC,160 - 300,1970 - 1980,16030019701980
2081623,1965,245.609883989358,50,MAT_AC,0 - 160,1960 - 1970,16019601970
2080617,1981,1.60026571596415,200,MAT_AC,160 - 300,1980 - 1990,16030019801990
2058528,1989,59.4122680837335,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2091307,1981,60.3646038421082,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2127282,1974,46.5317081493678,150,MAT_AC,0 - 160,1970 - 1980,16019701980
2106188,1972,51.7590317960889,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2248464,1960,6.86725571098866,50,MAT_AC,0 - 160,1960 - 1970,16019601970
2134215,1982,0.724168488660455,200,MAT_AC,160 - 300,1980 - 1990,16030019801990
2294746,1987,200.502697753884,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2280160,1971,184.925871706595,150,MAT_AC,0 - 160,1970 - 1980,16019701980
2246301,1963,118.710233355518,80,MAT_AC,0 - 160,1960 - 1970,16019601970
1651452,1978,13.065,200,MAT_AC,160 - 300,1970 - 1980,16030019701980
2189939,1962,297.0743608896,250,MAT_AC,160 - 300,1960 - 1970,16030019601970
1091408,1962,12229.33,150,MAT_AC,0 - 160,1960 - 1970,16019601970
2114407,1987,9.49971168442449,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2242081,1979,54.2694366215166,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2080480,1967,109.975562940434,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2262576,1982,0.800062526436424,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2172877,1991,58.9921523323624,100,MAT_AC,0 - 160,1990 - 2000,16019902000
2229097,1980,58.4650609735833,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2061547,1987,129.296720214848,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2188890,1985,24.4081309271561,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2094172,1978,153.876787963495,150,MAT_AC,0 - 160,1970 - 1980,16019701980
2139631,1974,389.505774603307,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2094811,1975,543.253173761866,400,MAT_AC,300 - 1000,1970 - 1980,300100019701980
2060216,1981,36.8183911538097,100,MAT_AC,0 - 160,1980 - 1990,16019801990
1652089,1989,46.0,400,MAT_AC,300 - 1000,1980 - 1990,300100019801990
2247788,1973,54.9995148837257,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2130050,1978,20.4103774830026,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2083556,1979,125.353322574388,200,MAT_AC,160 - 300,1970 - 1980,16030019701980
2040478,1960,3601.65010156,250,MAT_AC,160 - 300,1960 - 1970,16030019601970
2201053,1988,23.8634587292729,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2249048,1984,0.900093883957279,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2097166,1973,25.0831069093687,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2259104,1963,22.4471702294131,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2117143,1973,56.3114316032498,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2138986,1991,31.0411825820765,200,MAT_AC,160 - 300,1990 - 2000,16030019902000
2129288,1979,132.394029319955,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2227911,1970,98.5250577214681,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2103641,1977,60.1817019805652,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2106277,1977,543.989145861555,200,MAT_AC,160 - 300,1970 - 1980,16030019701980
2104953,1957,29.5660322607418,100,MAT_AC,0 - 160,1950 - 1960,16019501960
1100448,1954,94.5907772779,250,MAT_AC,160 - 300,1950 - 1960,16030019501960
2058358,1975,26.9851986108239,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2219671,1956,38.7431209235514,100,MAT_AC,0 - 160,1950 - 1960,16019501960
2097816,1984,117.740769722373,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2204184,1977,201.836709786949,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2066749,1960,4.29970522245258,125,MAT_AC,0 - 160,1960 - 1970,16019601970
2238894,1971,0.800405037329679,80,MAT_AC,0 - 160,1970 - 1980,16019701980
2189021,1962,67.565138010847,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2189098,1963,27.5036436482619,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2080349,1958,17.2146870438785,100,MAT_AC,0 - 160,1950 - 1960,16019501960
2057716,1972,1.70038520710186,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2191818,1970,72.6140274877381,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2222038,1981,0.807507894713842,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2089408,1968,132.416856992499,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2236170,1969,66.0976835913743,200,MAT_AC,160 - 300,1960 - 1970,16030019601970
2181263,1975,249.104894896846,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2110118,1965,119.169675828237,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2116874,1975,0.899992222158125,300,MAT_AC,300 - 1000,1970 - 1980,300100019701980
2214315,1975,49.8495000845708,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2247401,1983,174.604189681906,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2214278,1968,156.24929008133,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2167502,1975,3.74924513224221,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2176262,1987,0.600024166188695,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2202807,1966,141.088272179267,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2209789,1990,21.4365259565697,100,MAT_AC,0 - 160,1990 - 2000,16019902000
2098978,1974,48.2641503371453,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2212527,1989,17.7228417410013,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2095757,1972,183.910954892311,250,MAT_AC,160 - 300,1970 - 1980,16030019701980
2064243,1976,4.200164044401,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2239652,1979,95.2036668656478,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2165544,1969,31.1132479339926,300,MAT_AC,300 - 1000,1960 - 1970,300100019601970
2095466,1988,83.922741368595,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2133095,1970,0.800665972780577,200,MAT_AC,160 - 300,1970 - 1980,16030019701980
2028799,1967,5205.3,150,MAT_AC,0 - 160,1960 - 1970,16019601970
2222396,1968,216.384661485038,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2252215,1968,43.5451336808621,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2206248,1979,75.535703636834,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2128628,1990,1.00134359736059,100,MAT_AC,0 - 160,1990 - 2000,16019902000
