,Aanlegjaar,Lengte,Diameter,Materiaalcode,Diameter_group,Construction_year_group,Group_id
2061334,1989,10.359318761664,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2028700,1965,6228.5,400,MAT_AC,300 - 1000,1960 - 1970,300100019601970
2216939,1987,20.0446849804573,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2126969,1954,196.884765962192,100,MAT_AC,0 - 160,1950 - 1960,16019501960
2137605,1963,14.6339966174355,100,MAT_AC,0 - 160,1960 - 1970,16019601970
1100214,1934,1.50525248051,80,MAT_AC,0 - 160,1930 - 1940,16019301940
2192766,1962,66.0720559449797,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2161521,1963,70.2499841726395,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2099504,1969,306.138969890635,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2223804,1980,47.9011744864532,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2219847,1986,49.2840237244922,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2201774,1981,3.50020813666826,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2237739,1971,32.8820566213281,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2293602,1981,11.4249553550272,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2066721,1960,32.7969978834236,125,MAT_AC,0 - 160,1960 - 1970,16019601970
2087407,1971,67.5450110718242,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2210399,1981,94.4977504603616,150,MAT_AC,0 - 160,1980 - 1990,16019801990
2026380,1977,12949.0,150,MAT_AC,0 - 160,1970 - 1980,16019701980
2224239,1987,62.3090930709192,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2250609,1980,52.8841934443244,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2247590,1986,160.895356681344,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2210160,1983,121.94211669431,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2209232,1972,0.520504562913778,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2067796,1971,37.6821094787771,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2040243,1954,3.89912173908,300,MAT_AC,300 - 1000,1950 - 1960,300100019501960
2082576,1977,70.9271834492814,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2186124,1962,966.16599590152,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2102376,1983,75.9932324476053,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2131980,1986,51.6005017130232,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2278197,1961,110.661728726964,100,MAT_AC,0 - 160,1960 - 1970,16019601970
2084671,1987,0.510099009990348,100,MAT_AC,0 - 160,1980 - 1990,16019801990
2065170,1977,36.0819012047257,100,MAT_AC,0 - 160,1970 - 1980,16019701980
2224829,1986,99.6839774850646,100,MAT_AC,0 - 160,1980 - 1990,16019801990
