Date,WWTP_inlet Flow_rate,p10_1 Flow_rate,p_2_1 Flow_rate,CSO_Pump_2 Flow_rate,p_20_2 Flow_rate,p_21_2 Flow_rate,link_CSO_Pump_21_Flow_rate
01/01/2020 00:15,0.003201898,1.00E-04,0,0,0.00094,0.000161052,0
01/01/2020 00:30,0,0,0,0,0,0,0
01/01/2020 00:45,0,0,0,0,0,0,0
01/01/2020 01:00,0,0,0.002515599,0,0,0,0
01/01/2020 01:15,0,0,0,0,0.00094,0,0
01/01/2020 01:30,0,0,0.002167954,0,0,0,0
01/01/2020 01:45,0,0,0,0,0,0,0
01/01/2020 02:00,0,0,0,0,0,0,0
01/01/2020 02:15,0,0,0.003285657,0,0.00094,0,0
01/01/2020 02:30,0,0,0,0,0,0,0
01/01/2020 02:45,0,0,0,0,0,0,0
01/01/2020 03:00,0,0,0.002343,0,0,0,0
01/01/2020 03:15,0,0,0,0,0.00094,0,0
01/01/2020 03:30,0,0,0.002650185,0,0,0,0
01/01/2020 03:45,0,0,0,0,0,0,0
01/01/2020 04:00,0,0,0,0,0,0,0
01/01/2020 04:15,0,0,0.002304419,0,0.00094,0,0
01/01/2020 04:30,0,0,0,0,0,0,0
01/01/2020 04:45,0,0,0,0,0,0,0
01/01/2020 05:00,0,0,0.002681884,0,0,0,0
01/01/2020 05:15,0,0,0,0,0.00094,0,0
01/01/2020 05:30,0,0,0.002293119,0,0,0,0
01/01/2020 05:45,0,0,0,0,0,0,0
01/01/2020 06:00,0,0,0,0,0,0,0
01/01/2020 06:15,0.021917636,0,0.012449132,0,0.0047,0,0
01/01/2020 06:30,0,0,0,0,0,0,0
01/01/2020 06:45,0,0,0.012212399,0,0.0047,0,0
01/01/2020 07:00,0,0,0,0,0,0,0
01/01/2020 07:15,0,0,0.011675982,0,0.0047,0,0
01/01/2020 07:30,0,0,0,0,0,0,0
01/01/2020 07:45,0.020606745,0,0.01555837,0,0.0047,0,0
01/01/2020 08:00,0,0,0,0,0,0.011262621,0
01/01/2020 08:15,0,0,0.012810247,0,0.0047,0,0
01/01/2020 08:30,0,0,0,0,0,0,0
01/01/2020 08:45,0,0,0.012266622,0,0.0047,0,0
01/01/2020 09:00,0.007100001,0,0,0,0,0,0
01/01/2020 09:15,0,0,0.043072443,0,0.015,0,0
01/01/2020 09:30,0,0,0,0,0,0,0
01/01/2020 09:45,0,0,0.044691611,0,0.015,0,0
01/01/2020 10:00,0.017039999,0,0,0,0.015,0.025,0
01/01/2020 10:15,0,0,0.037267894,0,0.015,0,0
01/01/2020 10:30,0.017039999,0,0,0,0,0,0
01/01/2020 10:45,0,0,0.036471151,0,0.015,0,0
01/01/2020 11:00,0,0,0,0,0.015,0,0
01/01/2020 11:15,0.056201976,0,0.037798654,0,0.015,0,0
01/01/2020 11:30,0,0,0,0,0,0.025,0
01/01/2020 11:45,0,0,0.04039254,0,0.015,0,0
01/01/2020 12:00,0.017039999,0,0,0,0.015,0,0
