,cso_1,cso_20,cso_2a,cso_21a,cso_10,cso_21b,cso_2b,obj_fun_sum,spill_sum
25/05 16:08,14.65,9.963,34.506,1.761,0.0,0.00328,0.056242,60.93952200000001,
25/05 16:13,10.324,9.963,34.505,1.761,0.0,0.00328,0.056242,56.612522000000006,
25/05 16:31,10.368,9.963,36.092,2.082,0.0,0.003348,0.056528,58.56487599999999,
25/05 16:42,10.314,10.22,34.288000000000004,1.984,0.0,0.00333,0.05618,56.86550999999999,
25/05 16:59,9.979,10.315,23.042,1.669,0.0,0.006078,0.10167,45.112748,
25/05 17:19,1.916,10.012,52.514,1.6789999999999998,0.0,0.007076,0.067148,66.195224,
25/05 17:25,9.969,10.012,34.786,1.678,0.0,0.007074,0.056544,56.50861799999999,
25/05 17:33,9.525,10.342,25.5,2.697,0.0,0.005006,0.091484,48.16049,
25/05 17:49,9.514,10.304,25.499,2.696,0.0,0.004618,0.1186,48.136218,
25/05 17:59,8.963000000000001,10.304,24.16,4.334,0.0,0.004746,0.118378,47.884124,
25/05 18:07,9.979,10.315,21.653,3.3600000000000003,0.0,0.00638,0.101048,45.414428,
25/05 18:20,9.979,10.315,21.653,3.3600000000000003,0.0,0.00638,0.101048,45.414428,
25/05 18:28,9.979,10.315,21.653,3.3600000000000003,0.0,0.00638,0.101048,45.414428,
25/05 18:38,9.979,10.315,21.653,3.3600000000000003,0.0,0.00638,0.101048,45.414428,
25/05 19:05,9.979,10.315,21.653,3.3600000000000003,0.0,0.00638,0.101048,45.414428,85.13700000000001
25/05 19:23,9.979,10.315,21.653,3.3600000000000003,0.0,0.00638,0.101048,45.414428,85.13700000000001
26/05 20:40,10.058,11.720999999999998,23.009,3.985,0.0,0.0100279999999999,0.091178,48.874206,84.317
26/05 20:50,9.835,11.588,18.241,3.995,0.0,0.0094,0.122414,43.790814,96.397
26/05 20:59,9.835,11.588,18.241,3.995,0.0,0.0094,0.122414,43.790814,96.397
27/05 09:11,9.98,11.643999999999998,21.803,3.991,0.0,0.0099119999999999,0.098102,47.52601399999999,87.19500000000001
10/06 10:56,14.636,9.968,24.403,1.864,0.0,0.0038139999999999,0.100654,50.97546800000001,87.239
10/06 11:13,7.247999999999999,9.968,24.393,1.864,25.006,0.0038139999999999,0.0998,68.58261400000002,93.55200000000002
10/06 11:20,7.247999999999999,9.968,24.393,1.864,25.006,0.0038139999999999,0.0998,68.58261400000002,93.55200000000002
10/06 11:34,15.601,9.968,24.543,1.864,1.236,0.0038139999999999,0.099874,53.31568800000001,90.12900000000002
10/06 11:57,15.398,9.968,20.653,2.044,1.238,0.00351,0.13256,49.437070000000006,103.633
10/06 12:31,14.653,9.968,24.651,2.044,2.55,0.00351,0.099918,53.96942800000001,89.90700000000002
10/06 12:39,14.666,9.968,25.07,2.044,2.55,0.00351,0.0693439999999999,54.370854,74.84100000000002
10/06 12:48,14.697,9.968,28.393,2.044,2.55,0.00351,0.059824,57.715334000000006,72.19600000000001
10/06 12:58,14.658000000000001,10.191,24.438000000000002,2.785,2.55,0.004624,0.06780800000000001,54.69443200000001,74.732
